Circuit: Level 3 - dual RLC ladder

Transient Analysis
No. of Data Rows : 101

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   time                v(src)              v(n1)               v(n2)               v(n3)               v(out)              v1#branch           l1#branch           l2#branch
      75    7.5000000000e-04    5.0000000000e+00    4.5864169667e+00    4.7038117565e+00    4.0812536623e+00    3.9437235716e+00   -4.1358303328e-02    4.1358303328e-02    4.1503872948e-02
      76    7.6000000000e-04    5.0000000000e+00    4.5920324772e+00    4.7004482427e+00    4.0733765517e+00    3.9649852052e+00   -4.0796752276e-02    4.0796752276e-02    4.1804779404e-02
      77    7.7000000000e-04    5.0000000000e+00    4.5970946014e+00    4.6931625610e+00    4.0627455726e+00    3.9866383566e+00   -4.0290539861e-02    4.0290539861e-02    4.2027799230e-02
      78    7.8000000000e-04    5.0000000000e+00    4.6014608308e+00    4.6826832835e+00    4.0501709109e+00    4.0078776879e+00   -3.9853916918e-02    3.9853916918e-02    4.2167491507e-02
      79    7.9000000000e-04    5.0000000000e+00    4.6050332404e+00    4.6698120659e+00    4.0364758056e+00    4.0279455025e+00   -3.9496675963e-02    3.9496675963e-02    4.2222417356e-02
      80    8.0000000000e-04    5.0000000000e+00    4.6077586384e+00    4.6553817323e+00    4.0224575602e+00    4.0461639944e+00   -3.9224136159e-02    3.9224136159e-02    4.2194944806e-02
      81    8.1000000000e-04    5.0000000000e+00    4.6096267274e+00    4.6402163652e+00    4.0088530075e+00    4.0619616620e+00   -3.9037327257e-02    3.9037327257e-02    4.2090890515e-02
      82    8.2000000000e-04    5.0000000000e+00    4.6106665183e+00    4.6250950572e+00    3.9963096480e+00    4.0748930638e+00   -3.8933348171e-02    3.8933348171e-02    4.1919027283e-02
      83    8.3000000000e-04    5.0000000000e+00    4.6109413019e+00    4.6107206813e+00    3.9853633267e+00    4.0846514611e+00   -3.8905869812e-02    3.8905869812e-02    4.1690490305e-02
      84    8.4000000000e-04    5.0000000000e+00    4.6105425227e+00    4.5976947001e+00    3.9764229405e+00    4.0910742679e+00   -3.8945747728e-02    3.8945747728e-02    4.1418117305e-02
      85    8.5000000000e-04    5.0000000000e+00    4.6095829220e+00    4.5864986782e+00    3.9697623074e+00    4.0941415636e+00   -3.9041707798e-02    3.9041707798e-02    4.1115758056e-02
      86    8.6000000000e-04    5.0000000000e+00    4.6081893211e+00    4.5774828001e+00    3.9655189878e+00    4.0939682337e+00   -3.9181067893e-02    3.9181067893e-02    4.0797587488e-02
      87    8.7000000000e-04    5.0000000000e+00    4.6064954026e+00    4.5708613521e+00    3.9636995450e+00    4.0907905533e+00   -3.9350459742e-02    3.9350459742e-02    4.0477453808e-02
      88    8.8000000000e-04    5.0000000000e+00    4.6046348186e+00    4.5667148103e+00    3.9641904749e+00    4.0849482311e+00   -3.9536518135e-02    3.9536518135e-02    4.0168289024e-02
      89    8.9000000000e-04    5.0000000000e+00    4.6027349126e+00    4.5649979016e+00    3.9667738375e+00    4.0768630581e+00   -3.9726508738e-02    3.9726508738e-02    3.9881604271e-02
      90    9.0000000000e-04    5.0000000000e+00    4.6009112905e+00    4.5655527816e+00    3.9711464807e+00    4.0670153853e+00   -3.9908870947e-02    3.9908870947e-02    3.9627086729e-02
      91    9.1000000000e-04    5.0000000000e+00    4.5992634198e+00    4.5681263061e+00    3.9769416725e+00    4.0559196565e+00   -4.0073658018e-02    4.0073658018e-02    3.9412308903e-02
      92    9.2000000000e-04    5.0000000000e+00    4.5978713712e+00    4.5723902654e+00    3.9837519390e+00    4.0441001768e+00   -4.0212862877e-02    4.0212862877e-02    3.9242555093e-02
      93    9.3000000000e-04    5.0000000000e+00    4.5967937579e+00    4.5779634084e+00    3.9911519478e+00    4.0320681985e+00   -4.0320624206e-02    4.0320624206e-02    3.9120764041e-02
      94    9.4000000000e-04    5.0000000000e+00    4.5960668664e+00    4.5844340911e+00    3.9987203681e+00    4.0203012635e+00   -4.0393313363e-02    4.0393313363e-02    3.9047581532e-02
      95    9.5000000000e-04    5.0000000000e+00    4.5957049185e+00    4.5913824507e+00    4.0060597688e+00    4.0092255658e+00   -4.0429508148e-02    4.0429508148e-02    3.9021512125e-02
      96    9.6000000000e-04    5.0000000000e+00    4.5957013585e+00    4.5984011186e+00    4.0128137865e+00    3.9992019040e+00   -4.0429864147e-02    4.0429864147e-02    3.9039155468e-02
      97    9.7000000000e-04    5.0000000000e+00    4.5960310175e+00    4.6051136280e+00    4.0186809795e+00    3.9905155857e+00   -4.0396898254e-02    4.0396898254e-02    3.9095509898e-02
      98    9.8000000000e-04    5.0000000000e+00    4.5966529815e+00    4.6111898513e+00    4.0234249869e+00    3.9833704358e+00   -4.0334701850e-02    4.0334701850e-02    3.9184324292e-02
      99    9.9000000000e-04    5.0000000000e+00    4.5975139706e+00    4.6163579888e+00    4.0268808132e+00    3.9778868653e+00   -4.0248602940e-02    4.0248602940e-02    3.9298478373e-02
     100    1.0000000000e-03    5.0000000000e+00    4.5985520265e+00    4.6204128316e+00    4.0289572526e+00    3.9741037719e+00   -4.0144797347e-02    4.0144797347e-02    3.9430371934e-02
