Circuit: Level 4 - CMOS diode RLC mixed transient

Transient Analysis
No. of Data Rows : 101

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   time                v(vdd)              v(in)               v(supply)           v(rail)             v(out)              v(sense)            vdd#branch          vin#branch          l1#branch
      69    3.4500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628964405e+00    4.9629306430e+00    4.7173501756e-01    1.4197332947e-01   -1.8551779728e-03    0.0000000000e+00    1.8551779728e-03
      70    3.5000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628998480e+00    4.9629338385e+00    4.7691134441e-01    1.4528219168e-01   -1.8550075979e-03    0.0000000000e+00    1.8550075979e-03
      71    3.5500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629032345e+00    4.9629370162e+00    4.8205583399e-01    1.4860942648e-01   -1.8548382734e-03    0.0000000000e+00    1.8548382734e-03
      72    3.6000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629066003e+00    4.9629401764e+00    4.8716897506e-01    1.5195453769e-01   -1.8546699830e-03    0.0000000000e+00    1.8546699830e-03
      73    3.6500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629099458e+00    4.9629433195e+00    4.9225124756e-01    1.5531703888e-01   -1.8545027110e-03    0.0000000000e+00    1.8545027110e-03
      74    3.7000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629132712e+00    4.9629464455e+00    4.9730312281e-01    1.5869645317e-01   -1.8543364418e-03    0.0000000000e+00    1.8543364418e-03
      75    3.7500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629165768e+00    4.9629495549e+00    5.0232506366e-01    1.6209231304e-01   -1.8541711600e-03    0.0000000000e+00    1.8541711600e-03
      76    3.8000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629198630e+00    4.9629526477e+00    5.0731752466e-01    1.6550416019e-01   -1.8540068508e-03    0.0000000000e+00    1.8540068508e-03
      77    3.8500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629231300e+00    4.9629557244e+00    5.1228095222e-01    1.6893154533e-01   -1.8538434993e-03    0.0000000000e+00    1.8538434993e-03
      78    3.9000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629263782e+00    4.9629587850e+00    5.1721578480e-01    1.7237402804e-01   -1.8536810911e-03    0.0000000000e+00    1.8536810911e-03
      79    3.9500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629296078e+00    4.9629618299e+00    5.2212245306e-01    1.7583117657e-01   -1.8535196119e-03    0.0000000000e+00    1.8535196119e-03
      80    4.0000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629328190e+00    4.9629648593e+00    5.2700137999e-01    1.7930256772e-01   -1.8533590478e-03    0.0000000000e+00    1.8533590478e-03
      81    4.0500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629360123e+00    4.9629678734e+00    5.3185298110e-01    1.8278778663e-01   -1.8531993851e-03    0.0000000000e+00    1.8531993851e-03
      82    4.1000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629391878e+00    4.9629708724e+00    5.3667766452e-01    1.8628642667e-01   -1.8530406103e-03    0.0000000000e+00    1.8530406103e-03
      83    4.1500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629423458e+00    4.9629738565e+00    5.4147583120e-01    1.8979808926e-01   -1.8528827102e-03    0.0000000000e+00    1.8528827102e-03
      84    4.2000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629454866e+00    4.9629768259e+00    5.4624787504e-01    1.9332238372e-01   -1.8527256717e-03    0.0000000000e+00    1.8527256717e-03
      85    4.2500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629486104e+00    4.9629797810e+00    5.5099418297e-01    1.9685892714e-01   -1.8525694821e-03    0.0000000000e+00    1.8525694821e-03
      86    4.3000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629517174e+00    4.9629827218e+00    5.5571513519e-01    2.0040734420e-01   -1.8524141288e-03    0.0000000000e+00    1.8524141288e-03
      87    4.3500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629548080e+00    4.9629856485e+00    5.6041110521e-01    2.0396726707e-01   -1.8522595995e-03    0.0000000000e+00    1.8522595995e-03
      88    4.4000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629578824e+00    4.9629885615e+00    5.6508246002e-01    2.0753833525e-01   -1.8521058821e-03    0.0000000000e+00    1.8521058821e-03
      89    4.4500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629609407e+00    4.9629914608e+00    5.6972956024e-01    2.1112019540e-01   -1.8519529646e-03    0.0000000000e+00    1.8519529646e-03
      90    4.5000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629639833e+00    4.9629943466e+00    5.7435276020e-01    2.1471250129e-01   -1.8518008355e-03    0.0000000000e+00    1.8518008355e-03
      91    4.5500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629670103e+00    4.9629972192e+00    5.7895240809e-01    2.1831491357e-01   -1.8516494831e-03    0.0000000000e+00    1.8516494831e-03
      92    4.6000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629700221e+00    4.9630000788e+00    5.8352884608e-01    2.2192709972e-01   -1.8514988962e-03    0.0000000000e+00    1.8514988962e-03
      93    4.6500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629730187e+00    4.9630029254e+00    5.8808241042e-01    2.2554873386e-01   -1.8513490636e-03    0.0000000000e+00    1.8513490636e-03
      94    4.7000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629760005e+00    4.9630057594e+00    5.9261343157e-01    2.2917949669e-01   -1.8511999746e-03    0.0000000000e+00    1.8511999746e-03
      95    4.7500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629789676e+00    4.9630085808e+00    5.9712223430e-01    2.3281907531e-01   -1.8510516183e-03    0.0000000000e+00    1.8510516183e-03
      96    4.8000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629819203e+00    4.9630113899e+00    6.0160913784e-01    2.3646716313e-01   -1.8509039842e-03    0.0000000000e+00    1.8509039842e-03
      97    4.8500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629848588e+00    4.9630141868e+00    6.0607445592e-01    2.4012345974e-01   -1.8507570619e-03    0.0000000000e+00    1.8507570619e-03
      98    4.9000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629877832e+00    4.9630169716e+00    6.1051849693e-01    2.4378767082e-01   -1.8506108414e-03    0.0000000000e+00    1.8506108414e-03
      99    4.9500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629906938e+00    4.9630197447e+00    6.1494156401e-01    2.4745950798e-01   -1.8504653125e-03    0.0000000000e+00    1.8504653125e-03
     100    5.0000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9629935907e+00    4.9630225060e+00    6.1934395512e-01    2.5113868869e-01   -1.8503204654e-03    0.0000000000e+00    1.8503204654e-03
